Month,Contracted Capacity (MW),Percentage of Total Capacity in Data Set,Weighted Average Price ($/kW-month),Average Price ($/kW-month),85th Percentile ($/kW-month)
Jan,"7,580",5.71%,$5.66 ,$6.07 ,$8.40 
Feb,"8,242",6.20%,$5.66 ,$6.14 ,$8.50 
Mar,"12,095",9.10%,$5.36 ,$5.89 ,$8.00 
Apr,"11,119",8.37%,$5.84 ,$6.31 ,$8.33 
May,"11,072",8.33%,$7.13 ,$7.63 ,$10.75 
Jun,"10,551",7.94%,$10.80 ,$11.85 ,$22.00 
Jul,"10,569",7.95%,$17.05 ,$17.08 ,$32.00 
Aug,"13,225",9.95%,$21.43 ,$21.87 ,$40.74 
Sep,"13,553",10.20%,$24.07 ,$25.37 ,$47.00 
Oct,"11,368",8.56%,$11.37 ,$11.78 ,$17.50 
Nov,"12,334",9.28%,$6.51 ,$6.79 ,$10.75 
Dec,"11,150",8.39%,$7.01 ,$7.34 ,$11.37 
Annual Total,"132,857",100%,$11.21 ,$11.89 ,$20.00 
