2019,2020,2021,2022,2023,2024,2025
42.42861,33.63929,34.98804,61.21108,122.24213,47.99147,43.44755
41.10969,31.59142,33.06633,63.40301,116.45321,47.25381,43.484
39.77272,32.85061,34.28664,59.64306,115.4228,46.35978,43.1272
39.37227,31.87389,33.52,60.48631,111.11377,46.07376,42.56257
40.4752,31.56357,34.86667,62.6195,109.96259,45.69718,43.33163
43.80288,33.84379,37.76657,77.67082,113.39364,44.07964,43.33184
44.02296,34.64539,41.42123,86.1248,129.72951,45.97415,43.68077
41.90274,33.39415,39.21622,79.2414,127.77726,48.52327,38.3336
36.79428,29.94308,29.86647,57.63471,107.02164,44.47353,31.69908
30,23.93794,22.53,43.29644,84.80138,39.43772,31.31977
23.38,21.15186,16.95434,41.45801,71.06694,37.34624,30.05792
19.51066,19.69057,14.82217,30.51536,62.69412,36.02418,27.55351
16.47401,16.76834,13,29.52839,56.41192,33.88283,25.00085
15.27341,14.28277,12.37359,31.70445,49.7276,33.61442,23.42927
22.33606,17.82692,18.09838,34.52,59.30747,35.18668,27.9247
37.9581,25.54281,30.49894,57.11924,89.70688,40.98874,32.82183
46.34471,35.438,41.60028,84.86091,143.4157,51.05831,48.15902
55.31693,39.44627,58.90035,94.95271,158.91126,51.89795,48.3327
64.78388,39.14277,50.44934,95.01009,152.75801,52.32198,47.75488
60.5487,38.53754,48.01872,90.95493,151.34927,52.42063,47.52959
55.20184,38.50553,46.23296,84.34123,144.99958,52.19655,47.51456
52.18543,36.00522,43.0129,80.30888,144.99751,51.19803,46.97281
48.67529,32.38,38.78908,76.85588,143.92861,51.16432,47.3815
46.23531,31.00301,36.47462,66.62487,133.01727,48.22156,46.80134
45.2607,29.92279,34.15463,67.53216,130.07345,46.55121,44.18948
43.96908,30.61493,32.56992,64.86255,123.45331,45.90689,43.15677
43.63405,28.22821,33.04356,64.28547,121.99778,45.58454,41.9265
43.83611,30.13447,32.80008,63.97036,118.31025,45.79414,41.64336
45.02247,30.16013,33.23487,66.044,118.722,46.07394,44.16465
46.62094,36.07499,35.93734,75.35764,130.43996,49.76081,48.59915
60.40495,42.35318,39.7784,77.7319,150.12635,58.56651,54.28762
57.75684,42.88462,35.78887,74.39295,147.53032,60.71916,51.82032
44.50846,40.52553,28.19645,55.77141,127.01229,49.89154,39.30834
40.50969,33.59801,21.52,43.2915,116.8509,48.74423,34.45458
37.5216,32.16091,18.26,39.06414,112.63034,45.40198,32.55218
35.57865,29.25733,15.7148,31.94889,112.77713,44.64535,32.5732
32.75264,28.72,13.00964,31.06858,112.84971,44.07742,31.0071
32.55489,29.0148,13.86614,31.19191,112.89305,43.3977,29.31086
35.36231,31.57334,16.83914,33.47917,115.33349,42.35561,31.04686
43.36349,36.3799,29.79139,55.17207,134.78214,49.74209,36.72027
54.30376,43.69105,41.79845,79.4059,164.46195,58.02341,49.18283
76.58898,66.75814,55.47686,94.67803,177.49884,60.51448,50
77.68235,48.59232,49.29032,91.97668,170.04258,58.6987,49.75359
66.5571,45.31537,45.74799,90.43381,166.47547,58.43508,48.73862
62.06938,42.11476,44.65902,85.76586,165.27341,57.30875,48.58678
56.22214,40.86748,41.17502,78.33355,160.38887,57.12555,47.41796
48.55587,37.42023,38.19094,72.54627,147.98457,50.13984,47.39231
44.55712,34.85841,35.42174,69.63246,139.17451,49.20206,45.04994
42.75939,30.82309,31.65248,67.79486,153.07756,50.90257,46.99347
41.26854,30.29745,31.65487,67.04624,147.36666,50.59871,44.34301
41.90433,29.73372,31.44285,66.36014,147.38741,47.14894,44.02511
41.13781,29.94021,31.37422,65.77899,146.29107,46.49376,44.01115
43.02865,30.54374,31.82741,67.8443,148.61443,46.05525,45.4393
45.85335,32.5926,34.45184,78.90593,163.69116,50.75787,49.30873
59.8397,40.46889,38.14318,106.1808,191.15394,54.62493,52.67561
53.63726,38.88761,34.36712,103.94423,193.98,56.13854,54.74389
43.41589,31.91264,27.67974,78.48009,163.12861,53.30408,49.57939
37.48593,30.9,21.49953,68.74599,152.6914,51.48198,49.69299
35.01173,29.56009,17.14889,64.26732,142.37829,48.32854,45.4006
33.09864,24.86521,15.85141,60.54534,139.62284,47.0288,44.89951
30.12113,22.90257,15.64144,58.77479,136.50214,43.94757,41.3453
31.68657,22.90123,15.2032,58.03326,132.62142,42.17736,41.15912
34.45988,27.55382,19.22374,59.12118,141.10426,44.72858,41.58878
42.17617,31.2218,31.63288,64.07369,165.22326,51.63283,45
52.92241,39.88,42.11657,94.06194,198.91481,57.9732,49.26506
73.97368,51.08717,61.29652,125.32416,208.63017,60.21288,49.5314
77.13917,42.67901,53.46058,112.31987,205.11666,57.7515,46.48575
65.08942,39.21811,47.28001,102.15905,201.93026,56.70578,45.56511
60.71922,37.92873,44.243,92.24041,201.38114,55.97618,44.7039
53.59265,36.09044,40.16772,80.58143,192.84882,55.37373,44.12116
47.17393,33.41061,38.03194,76.16814,182.54674,51.37214,42.5853
43.28389,31.33533,34.78744,67.74259,163.60593,49.71407,40.73551
41.86789,33.6283,31.16181,55.26333,201.29155,48.50927,39.13077
40.45427,31.98,30.87779,52.87127,198.94912,47.45146,41.15895
40.47942,31.93504,30.38078,51.89186,193.75001,47.207,40.52955
41.23054,31.9824,30.48852,51.98573,201.14712,46.59124,39.17929
41.97007,32.04189,31.92518,52.57152,203.07975,47.45282,41.24934
45.65756,33.66333,37.82266,61.78253,214.28289,53.23476,41.42832
58.43488,37.81582,48.8453,86.59961,245.78126,61.48018,42.24142
51.42798,33.90867,54.94638,83.37832,254.16375,57.26619,42.14883
42.90341,30.70753,37.73569,62.74613,234.58672,48.54151,26.21905
36.3754,25.48104,31.85601,54.71926,224.81289,49.06725,28.40443
34.61481,21.37876,31.6303,52.74037,212.37715,44.96012,25.45474
33.81606,17.95933,29.89713,47.46443,210.14586,44.89823,24.06767
