MDH,2019,2020,2021,2022,2023,2024,2025
01-01 00,0.417661016532407,0.334454524901983,0.520636471309872,0.428892017875373,0.349050963360577,0.419989526299715,0.495789366351553
01-01 01,0.411147822988749,0.346181905515184,0.462214668611601,0.423225603540536,0.371696775846096,0.460552747273625,0.505826225899002
01-01 02,0.376115871593172,0.320970181807845,0.454692697555864,0.433380516066807,0.323234020021397,0.414898805830657,0.483649489385051
01-01 03,0.368023495601688,0.28479365027688,0.484280151592162,0.46085522959798,0.325079641454707,0.400437811116788,0.460838111857568
01-01 04,0.332169257683978,0.278227805831892,0.481689379716258,0.421804517655103,0.312377195348206,0.37937090611159,0.449662823519135
01-01 05,0.305577163913121,0.264457179833297,0.497002838830916,0.463853997317989,0.323874301443249,0.383637442887592,0.434573212301712
01-01 06,0.375617034496794,0.303262870921917,0.412139894108735,0.417210029727676,0.36185713138427,0.387950529844021,0.454791031821644
01-01 07,0.407659813576652,0.320441493015044,0.38724423802397,0.379933981769845,0.374350074316571,0.386247236876188,0.4541898349271
01-01 08,0.356475293005387,0.313034734773104,0.3754204309098,0.374397956064934,0.369609266803112,0.445590422010877,0.434073427085869
01-01 09,0.392929158866447,0.330163702502045,0.348115092829758,0.343756729569193,0.347165300213555,0.439691601363871,0.419501565586199
01-01 10,0.374876729644636,0.334235967594504,0.346906931157412,0.380572365161201,0.32904394217625,0.440339530829451,0.419431036339522
01-01 11,0.379165190966296,0.344103368288559,0.356421422012181,0.378808580431716,0.335319352412683,0.433017440586143,0.431169673187761
01-01 12,0.387567734615691,0.322032777151089,0.347555206895082,0.382757566827301,0.362940294576913,0.419043916409367,0.401439987346835
01-01 13,0.386945721899009,0.378338503343413,0.351970082121786,0.424356756809861,0.362978523074172,0.405222595818742,0.391862429359012
01-01 14,0.418576811315993,0.361009013558266,0.389363815908144,0.455488645445293,0.372952598847029,0.422280725805429,0.40874633320036
01-01 15,0.378250883729174,0.375326043295849,0.344259793941223,0.397846198546504,0.398264919617298,0.444467630142793,0.360241527804843
01-01 16,0.231305938459631,0.183818860082215,0.169111355206239,0.186700367743443,0.365473709527728,0.352272767632812,0.341222111755945
01-01 17,0.193671975043889,0.0661629991924306,0.085563148176693,0.165597344085029,0.340072711860332,0.385406307945293,0.236687680060632
01-01 18,0.202147389084473,0,0.185563197535035,0.133707285253203,0.30298381118215,0.354439388254518,0.248993552635059
01-01 19,0.143438611981514,0,0.186487072214041,0.0122470513396965,0.265112320970602,0.345788623544034,0.295297006317405
01-01 20,0.0863444480074756,0,0.177506915907161,0.0169004255366284,0.314632349397854,0.337117198066041,0.287828215477347
01-01 21,0.0982426364252999,0,0.209720093928432,0,0.283935408728472,0.301558691776323,0.303111962152787
01-01 22,0.131358570920362,0,0.25897182868556,0,0.314785768408143,0.300401244394437,0.372473893266454
01-01 23,0.329223254039882,0.149329841439954,0.264861728099491,0.132980784503389,0.33115213191636,0.32224429898485,0.320576494155739
01-02 00,0.512943256570192,0.290776996000496,0.377168732064556,0.460509923883932,0.457502505255098,0.416828130957507,0.422530700388286
01-02 01,0.494063709608222,0.314228682014587,0.422938908967476,0.458893325234977,0.448308587929245,0.464446257073246,0.481200484886471
01-02 02,0.459036941257376,0.306228191307316,0.413637991328674,0.452274381343516,0.403062460365939,0.429734210733574,0.452205229598854
01-02 03,0.488766194759881,0.288869323878397,0.407670102619436,0.481529764137511,0.420012542484253,0.42111782865883,0.458618154185499
01-02 04,0.635115292014245,0.335363733969322,0.43153154719543,0.500711368876374,0.438530755894616,0.444297502366265,0.473765840695713
01-02 05,0.603742563146552,0.352767846111643,0.418943324161318,0.547889455267919,0.471448412024132,0.440933196543386,0.468559119107837
