2019,2020,2021,2022,2023,2024,2025
43.53143,33.31091,34.42265,58.89002,121.52371,47.08544,42.66324
42.13139,30.91634,32.39925,61.42674,115.83767,46.28683,42.69903
40.94988,32.03,33.47,58.36954,115.36508,45.82722,42.47626
40.00808,31.03427,32.7913,59.171,110.80302,45.47261,41.95338
40.9972,30.50917,34.01005,61.20912,109.69899,45.04117,42.53668
44.28345,32.56636,36.63,75.71717,112.87343,43.45368,42.53672
44.63556,33.37319,39.99838,83.12614,129.12118,45.33344,42.69839
41.96147,31.84481,37.58221,75.93451,125.04946,46.15118,38.8333
35.92998,28.37173,27.93383,53.27783,103.05982,37.07049,25.60813
28.64834,22.29231,20.63366,39,81.51521,29.34712,21.56354
22.22874,19.55078,15.54405,33.62292,66.72949,26.97964,21.22282
18.43936,18.10837,13.58817,27.12986,58.89227,23.30718,20.51765
15.59105,15.38222,11.932,26.41428,54.12435,23.15812,18.87122
14.41913,13.26031,11.39916,28.57414,47.81987,22.87302,18.89757
21.30792,16.58734,16.86856,31.7373,56.89646,24.28885,20.30333
36.80084,25.5504,29.07395,54.62077,88.55794,38.67239,30.46675
46.45618,34.07701,40.74365,82.28,143.21496,50.73012,44.62779
56.81959,38.31511,58.2205,92.20155,158.76821,51.79847,45.26631
66.83936,38.18835,49.80757,92.28588,153.07935,52.05372,45.14785
62.68508,37.50784,47.37479,88.65613,151.54626,52.13067,44.79797
56.60347,37.37995,45.64953,83.21814,144.99646,51.99002,44.79334
53.48344,34.86598,42.47027,79.86,144.99533,51.54561,44.83228
49.87587,31.49104,38.18144,76.18204,145.97436,51.23889,44.91756
47.28015,30.17345,36.06109,66.00779,135.17917,48.29604,44.09467
45.6428,28.61888,33.74261,65.75377,132.11999,45.58532,43.0195
44.45585,29.2463,32.2039,63.49,125.6605,44.94105,42.01695
44.31205,27.14943,32.73111,63.17062,124.24124,44.75032,41.00649
44.0868,29,32.39925,62.81095,120.25661,44.99522,40.97849
