MDH,2019,2020,2021,2022,2023,2024,2025
01-01 00,0.273992206283492,0.21244745803474,0.440899621987722,0.378800168223832,0.353535844622664,0.451875188309043,0.465333833074748
01-01 01,0.274590412645398,0.226378518386967,0.375087788849375,0.365327772598086,0.378585847961327,0.495219149646898,0.476685673101197
01-01 02,0.251254689931931,0.208975047292035,0.368983088385786,0.377224074008712,0.332060776527089,0.450072143551773,0.454339321530955
01-01 03,0.245047877247817,0.183254049334683,0.392995750746953,0.402452096146056,0.335048591436962,0.435649845552763,0.440858449981089
01-01 04,0.219730165245209,0.178601447339674,0.390893106627258,0.396621101638038,0.325583829670357,0.416107508248593,0.432724927657579
01-01 05,0.201096655133277,0.169800581615507,0.4033212741056,0.409330845452363,0.339880671524921,0.422953524970197,0.42278378101336
01-01 06,0.245528820608827,0.19473949248758,0.334447958983947,0.366264887619095,0.376778164619332,0.423410629204872,0.437516904319343
01-01 07,0.26939272079355,0.203237131764774,0.314243051125278,0.341434097987939,0.391992237038656,0.419505206053663,0.436722159914258
01-01 08,0.230379594246705,0.184332203651295,0.312912475703296,0.349115774012203,0.298529864666654,0.467783377456225,0.417143250829794
01-01 09,0.253879421488548,0.19171843181703,0.290150667343286,0.330486347141833,0.283338872474307,0.455508325421444,0.40475732218614
01-01 10,0.241916952059462,0.192879678686518,0.289143547425221,0.351450181584322,0.26854913066879,0.459106246957702,0.40859760877495
01-01 11,0.244765548799176,0.19858096765893,0.297074863665281,0.348104169456011,0.273670805155298,0.44932587047042,0.424807706518404
01-01 12,0.249624928014665,0.185451440348947,0.28968394963695,0.350841840713738,0.296213630157327,0.435037233425789,0.39586040535496
01-01 13,0.249334820564876,0.217014177555386,0.293364191960396,0.390574521171888,0.296244830335752,0.424411458070242,0.391000762277054
01-01 14,0.271777502520069,0.206459180383215,0.324535729049273,0.420369598745365,0.300118756389573,0.441494723047533,0.407424444267558
01-01 15,0.240866885003901,0.212971976310251,0.286936872279209,0.35713120747554,0.325043814001633,0.453266992670931,0.34555097639513
01-01 16,0.142469199717204,0.103532855353198,0.140942387711957,0.16278145409373,0.290395473239376,0.34887413911569,0.228927160987264
01-01 17,0.116720107154601,0.0361149599191397,0.0662352567741386,0.0586497780083102,0.268098717693175,0.285897261730643,0.174662673192491
01-01 18,0.12087005109546,0,0.143758043864174,0.0025671848345706,0.240318241938845,0.154825037569514,0.166743694834746
01-01 19,0.0853243925142432,0,0.144468794883501,7.06496419525123e-05,0.210973973164612,0.106063398769534,0.194543367883141
01-01 20,0.0518202181626031,0,0.136588322673188,0.0145898756506196,0.25151405468211,0.00871691586725018,0.187636143276993
01-01 21,0.0590239157522596,0,0.15686479716709,0,0.227167821657676,0,0.0699330064587223
01-01 22,0.0791805997211137,0,0.193923022255271,0,0.254587144001018,0.0147716156727727,0
01-01 23,0.202758377224831,0.0810244432572138,0.219856075356591,0.120936719685885,0.274633411011514,0.269730355650409,0.129795703575369
01-02 00,0.32528574052782,0.161680149035783,0.314369848844176,0.443404762245905,0.375988726407817,0.439134271260499,0.389679977294707
01-02 01,0.316792151527485,0.175625179870532,0.352524023385954,0.429899846156612,0.365600783648877,0.492293137350009,0.40346254337327
01-02 02,0.291662071749584,0.172042054600205,0.344770726812912,0.416622799789118,0.328704291459354,0.456205843623572,0.381309906859384
01-02 03,0.311549912380999,0.163312892653545,0.339795879445753,0.449539201086777,0.341961311071237,0.449962013031369,0.387263717151681
01-02 04,0.436366015528754,0.186643034056137,0.359686860472331,0.471102856577764,0.358745435106316,0.477082028397845,0.394971933906873
01-02 05,0.451959308606368,0.197725867915328,0.349193280497167,0.515142309468103,0.386390509847411,0.469404730716421,0.388089834016278
01-02 06,0.34089583484307,0.1659160145867,0.326302788553162,0.524860362362744,0.397550489851151,0.452961900954248,0.376394838291821
01-02 07,0.333852112336614,0.1430575854639,0.291524783795222,0.427505780886432,0.322899867793996,0.39345266686145,0.383316544157915
01-02 08,0.275472456825087,0.13728289992271,0.273020425343951,0.37660121732614,0.348351912665408,0.484849497217158,0.39527842068713
01-02 09,0.289193004700804,0.16945675851028,0.267777663377101,0.396704483435869,0.352792958032973,0.469521453656039,0.386914513732241
01-02 10,0.296191663057704,0.211088548389416,0.271375993051074,0.370872022946633,0.383351731735892,0.447547263825811,0.376541196589223
01-02 11,0.290267248357817,0.216866182294887,0.280857331006529,0.354067746556384,0.428971044885978,0.445495493667428,0.373483516305022
01-02 12,0.315034843860799,0.202301246183497,0.281092357615992,0.359589884159124,0.541345144734695,0.455187231502826,0.35935100923045
01-02 13,0.276806612186294,0.17651338269528,0.281468188750777,0.341558885992787,0.526656861059806,0.48363613237212,0.391192854580245
01-02 14,0.310673311999568,0.185262006046103,0.292568496007423,0.400331403427996,0.616609195273522,0.518629451226793,0.41132444938519
01-02 15,0.294954549479837,0.200992663059068,0.270107121446014,0.370916975782229,0.617390837463981,0.457938001548702,0.376671381006507
01-02 16,0.239501415971988,0.141923114829201,0.22598353491456,0.203520477561469,0.374877847902674,0.278287054762517,0.267888290595954
01-02 17,0.198362678041956,0.053363410291776,0.168216464390918,0.116291285509761,0.340824730950489,0.174731878378099,0.185036014723773
01-02 18,0.206415728059448,0.0839357839170637,0.168863053916226,0.0986099126160568,0.416918004445166,0.179286452186551,0.172457417698244
01-02 19,0.25594823604515,0.127490342796777,0.17152845629001,0.0824621455846803,0.381329135389531,0.173674556168863,0.163260245636452
01-02 20,0.184502365992259,0.140095480246729,0.16824082100865,0.0903416786508146,0.414763179501998,0.140452291596828,0.142293626157268
01-02 21,0.168646781206731,0.14146155662942,0.110945467362547,0.0550879335444084,0.529625789007274,0.21603804049586,0.0982539101644304
01-02 22,0.173404129162601,0.15211156504656,0.23382814421801,0.052203725135502,0.581719366094916,0.332946546388735,0.00537970431741942
01-02 23,0.205993634840916,0.223339238790372,0.366507828006656,0.192476027128964,0.54131247564196,0.437227875603294,0.1865656364594
01-03 00,0.272018674269133,0.244061605268767,0.330244544898086,0.427715167709039,0.523245417195446,0.561187722145176,0.424714136256052
01-03 01,0.417154707870844,0.284227385006574,0.299853780006834,0.445115646946523,0.489183887968325,0.615226319869537,0.457353167727135
01-03 02,0.323000901653306,0.265223126847705,0.331892255336015,0.403192496077259,0.542535945332754,0.60861321941744,0.424692157374765
01-03 03,0.314418490561095,0.375055979324543,0.333780409518104,0.481222496661616,0.51436157911001,0.650950041874653,0.42358930927041
01-03 04,0.315633227985319,0.282942934473467,0.333681983212934,0.505128795394876,0.498722866220812,0.663162947791866,0.424524597861998
01-03 05,0.327058858009084,0.281492397109529,0.296544336865519,0.480400606142626,0.484468129315888,0.66375,0.423176604322621
01-03 06,0.313113236505883,0.278258784291298,0.282781323509393,0.429932997215311,0.421048983925997,0.615148848891915,0.421447460219346
