2019,2020,2021,2022,2023,2024,2025
44.34993,34.16538,34.85276,59.82564,121.64547,46.56375,43.607
42.80696,31.54142,32.76222,62.26213,116.91777,45.72696,43.63927
41.60521,32.68844,33.81739,58.93555,116.55405,45.49123,43.30284
40.59222,31.66949,33.1424,59.76289,111.91283,45.12527,42.79524
41.63746,31.09839,34.39192,61.66688,110.59961,44.81463,43.3832
45.02416,33.23991,36.99029,76.22282,113.38233,43.22638,43.4092
45.42129,34.2474,40.30892,83.48936,130.22135,45.20574,44.19125
42.58657,33.0141,37.97345,76.27527,125.70615,45.77808,47.28932
36.19871,26.4199,28.09248,53.6538,103.55243,36.80704,39.11328
28.8268,19.97449,20.67241,39.30337,82.51932,29.50725,35.84475
22.36981,16.74494,15.58944,33.93766,67.75209,27.20276,29.75149
18.53589,15.55534,13.61084,27.23879,59.81852,23.58145,26.37914
15.70142,13.90505,11.95935,26.4838,55.04489,23.38072,25.55613
13.38509,12.67765,11.44421,28.667,48.65694,23.13013,25.63658
21.49089,16.96214,16.98195,31.9582,57.67308,24.75643,27.16833
37.16668,26.31708,29.44284,55.26769,89.1814,38.85531,40.81775
47.28758,35.08644,41.36613,83.39923,144.66316,50.83699,50.00764
58.47983,39.89094,57.76591,93.6052,160.29407,52.13568,53.14007
69.11315,40.15112,49.64044,93.38118,154.3494,52.43492,52.9792
64.82949,38.9151,47.39834,89.96716,152.54637,52.52295,52.83913
57.91539,38.61961,46.06123,84.39152,145.13968,52.3392,52.58138
54.64371,35.96618,42.95735,81.27076,145.15196,51.74609,52.50113
50.94305,32.33843,38.55833,77.48377,146.96097,51.22865,49.53972
48.11415,30.83771,36.71404,66.93009,136.46826,48.21885,44.93951
46.43884,29.18313,34.46941,66.75952,132.77593,45.45193,43.47597
45.15946,29.71247,32.76751,64.31096,126.59575,44.76421,42.60331
44.97244,27.62797,33.25076,63.81405,125.26436,44.58348,41.36289
44.72013,29.59678,32.86526,63.34947,121.28353,44.79128,41.32951
45.98059,29.75685,33.18213,65.45549,121.82985,45.23275,43.80172
48.37854,35.96815,35.73103,74.15227,133.33687,49.55123,47.94105
63.62001,43.85229,39.31595,76.53568,152.06113,58.23861,54.07238
60.34367,42.55405,35.25313,71.90494,146.33902,58.70603,49.44038
45.47052,36.15903,27.04994,52.87413,123.55882,41.27889,41.98726
