MDH,2019,2020,2021,2022,2023,2024,2025
01-01 00,0.282609880243067,0.217367448318433,0.437124534556462,0.378468527617922,0.347618533403449,0.442321637614219,0.471298037658486
01-01 01,0.28424004438558,0.233603463882136,0.371873182935778,0.362606162867603,0.37367593913676,0.487349882180016,0.575989727522193
01-01 02,0.258540857154642,0.215125398538403,0.365820465036881,0.375269835207977,0.327246636550684,0.442655323177312,0.516765298367006
01-01 03,0.252210624951247,0.187790811317883,0.389628622040453,0.400887247080518,0.330681180359994,0.428233984778502,0.463627588178696
01-01 04,0.225551828066732,0.1826029997681,0.387543901306576,0.393278279088659,0.321633947154818,0.409195094236092,0.438260716515633
01-01 05,0.205621906987135,0.17347884218697,0.399866213236641,0.40861735993384,0.334553226196136,0.415730218100269,0.425447783595317
01-01 06,0.249891653628301,0.19959944736148,0.331579450012021,0.367987163973167,0.370119330554265,0.414940238240284,0.440554844404277
01-01 07,0.273467528750771,0.207468329223018,0.311546633550187,0.341838971429099,0.384436349739136,0.410784236185497,0.439790622751231
01-01 08,0.234359048724515,0.187978338021332,0.310226658681204,0.350717751565163,0.295395532583069,0.459951273287932,0.421401420666596
01-01 09,0.257190968667647,0.195435673113802,0.287658695233447,0.330486347141833,0.283338872474307,0.447088788040209,0.408218918542917
01-01 10,0.244696255093823,0.196285673997498,0.286660139469329,0.352019181619961,0.26854913066879,0.450534637857441,0.412071478009944
01-01 11,0.247743948411762,0.202470572589485,0.294523901335242,0.348433037430034,0.273670805155298,0.440307469732002,0.428839610396071
01-01 12,0.252469670854659,0.189193763356344,0.287195952277987,0.350139383987509,0.296213630157327,0.425940557366265,0.402208132951139
01-01 13,0.252964270342281,0.221761955093182,0.290844839144015,0.390782577216281,0.296244830335752,0.41585489442651,0.396680203743539
01-01 14,0.275902799154167,0.211460318299172,0.321750903851265,0.422311166271904,0.300472429299627,0.432366220386383,0.413985237206263
01-01 15,0.243281532635103,0.216521811198148,0.284472256289825,0.355986373550303,0.325043814001633,0.442606080205315,0.348898075682416
01-01 16,0.143093478517555,0.104646802291599,0.139726359805126,0.161750617187628,0.287920740683598,0.33965936849924,0.26115488220663
01-01 17,0.116596788247366,0.0364682714991558,0.0679431293691238,0.0632992234625374,0.264867693777035,0.282466550504448,0.186669463459296
01-01 18,0.120524494560229,0,0.147603701386915,0.00607702949497052,0.237390627754447,0.155908903113706,0.172855226526122
01-01 19,0.0849102777507041,0,0.148372393620026,0.000270446336864202,0.209021003356542,0.109431845343332,0.191359416895588
01-01 20,0.0515825943548073,0,0.140929037466235,0.014398674551642,0.249599050827928,0.0110202677337289,0.183716432847216
01-01 21,0.0587993422491656,0,0.164214660624014,0,0.225826970366651,0,0.0704996580613741
01-01 22,0.0791060341162953,0,0.203066268720847,0,0.253824271027584,0.0156323140007715,0
01-01 23,0.203788127462477,0.0824946330042734,0.218402144268015,0.120647992908082,0.274309221623311,0.268216979152795,0.129936704086544
01-02 00,0.330821952791449,0.164552679208108,0.311671599456976,0.443357862969577,0.376957414007757,0.434562230498294,0.390495537963005
01-02 01,0.325585526855533,0.180570101008611,0.349500819675167,0.429449796855449,0.367379996240947,0.488592801721367,0.473763406715768
01-02 02,0.296714451909541,0.17680730866507,0.341813610506362,0.41770235454391,0.329241372571665,0.453250490929359,0.443039684438853
01-02 03,0.317412029233193,0.166637115306683,0.336881116773268,0.452454363112777,0.341260349547353,0.446875196744856,0.424492155839227
01-02 04,0.447625557184113,0.190984805636843,0.356602675068225,0.475430902517907,0.357166464036013,0.472835399608749,0.400379602776609
01-02 05,0.459154368753598,0.202361421270842,0.346198473717889,0.519533503439202,0.382427442619072,0.462125540725468,0.386615198759924
01-02 06,0.347782247635138,0.170055112644182,0.323502949450818,0.527830867713309,0.384475251673737,0.445267559657747,0.374646283961363
01-02 07,0.338817706205159,0.14615881305071,0.289021075926099,0.429561568017785,0.321172950743769,0.385514152283675,0.38058953684964
01-02 08,0.279737311699594,0.139749637420848,0.270674330688901,0.379149856511301,0.348351912665408,0.47612250588943,0.392540368951731
01-02 09,0.293336335232066,0.172490738528017,0.26547624164374,0.398438430617644,0.34816549647743,0.46251892395632,0.3848327491926
01-02 10,0.300137062006383,0.21455752037318,0.269043912466119,0.371778278174146,0.383351731735892,0.440362148155334,0.374391735838385
01-02 11,0.297390320011797,0.220750028545693,0.278444493318233,0.354182809145261,0.428971044885978,0.438464151537451,0.371539587158496
01-02 12,0.319186541178936,0.205842541820138,0.278677528454577,0.360254932283544,0.541345144734695,0.448185201342744,0.357628597043281
01-02 13,0.28238607050022,0.17995446044244,0.279050163397936,0.342734810875217,0.526656861059806,0.476597534217245,0.390153688674099
01-02 14,0.318532937437813,0.189894296172797,0.290055904365211,0.402806982415651,0.616609195273522,0.512074246571961,0.410658351030488
01-02 15,0.301220431462581,0.204743801676253,0.267785825958279,0.370090922437439,0.615337089172203,0.448912497187309,0.374738134947383
01-02 16,0.243081447575728,0.145980682383036,0.224038021389433,0.201365971313177,0.367891101686476,0.271857996566221,0.292473177515527
01-02 17,0.199878166739777,0.0580038228545051,0.182460832371034,0.12065344862517,0.335744953407956,0.176338042246617,0.251226593999897
01-02 18,0.216832436555506,0.0466404854275286,0.16740400892137,0.101567247524587,0.404679275696302,0.181305278129205,0.251358899324239
01-02 19,0.264470502766457,0.0983021743372688,0.170046718336036,0.0879467656607046,0.368657951690593,0.127529903926516,0.173004737402504
01-02 20,0.193380580068502,0.113869721716488,0.16678706202269,0.0952297122744965,0.402649832455329,0.140290796358886,0.142884031695645
01-02 21,0.175911399831051,0.0791924233380649,0.110955375555965,0.0624059492424381,0.511305033712568,0.210944006213177,0.10018279658127
01-02 22,0.174784819627454,0.0950731323195448,0.240392400213357,0.0552775765436273,0.571700961616782,0.323022404087242,0.00729504049472387
01-02 23,0.20919318357547,0.206854918541481,0.363415979938493,0.193012747505162,0.529659137746929,0.427658448778029,0.186351731199817
01-03 00,0.280267272923581,0.318698086290488,0.327411080222877,0.427735901328322,0.515459993767612,0.553400906748392,0.461876229828749
01-03 01,0.434306997526404,0.554625323573103,0.289898258369688,0.444627795966712,0.488196981446122,0.603950965183479,0.480436805934386
01-03 02,0.334957804992109,0.47894334451245,0.325520713292878,0.405960277968015,0.536395999714912,0.598098070924583,0.436762003783638
01-03 03,0.325662534244144,0.636918346346284,0.330916851471322,0.484829312904575,0.511349445350145,0.641460515991009,0.4234802632268
01-03 04,0.326175614798975,0.38965635767013,0.330819269288504,0.508549515801898,0.497445342675822,0.657593919048461,0.423685182124628
01-03 05,0.33577982709292,0.2879870660793,0.293997898375651,0.485111077960052,0.488382930650894,0.66375,0.422564023522674
01-03 06,0.320227723671783,0.283762349292353,0.280352119681927,0.434121638217761,0.421048983925997,0.601867131353811,0.419758008498895
01-03 07,0.303767276679916,0.243783595593103,0.260308803254809,0.386716140487926,0.415411334652644,0.494138352101826,0.408767688071955
01-03 08,0.25063226759719,0.243307587571778,0.260128382346541,0.382371836321424,0.39535143185005,0.429563318641578,0.426907253804416
01-03 09,0.263928960535393,0.236964933495794,0.274408965634113,0.370006008368515,0.386556230285268,0.408011099413584,0.426948545359064
01-03 10,0.260506697982319,0.219214148015724,0.24931346220271,0.370700333613632,0.389421882803593,0.42950647586999,0.42318528826625
01-03 11,0.251612465512327,0.206981432209018,0.213496326440277,0.360003590428222,0.399718228771853,0.420249025416333,0.424561754743761
01-03 12,0.228124007625558,0.228785788769076,0.243434969566035,0.39434807776837,0.432578785932861,0.398626841904703,0.428121153845491
01-03 13,0.260795889443737,0.221623840165644,0.255148363705563,0.396617419283995,0.450738140206071,0.425382389767497,0.433511950805335
01-03 14,0.283202098079758,0.236175094868197,0.261301073175791,0.488129022475615,0.540199587673688,0.431465490480913,0.424685011864142
01-03 15,0.293532211552736,0.220440943724626,0.227489211522773,0.398563372222013,0.592331379914077,0.39226531429422,0.414789867418303
01-03 16,0.205498149874492,0.122214805136025,0.207262015744357,0.308446978694385,0.375122642573322,0.34371818412591,0.38543342469492
01-03 17,0.171400335550426,0.110532155994685,0.195820379829592,0.281585064171781,0.374258286267099,0.15046757651843,0.407974237359331
01-03 18,0.158720474993787,0.138856464497572,0.181948097703539,0.307965918945742,0.330295351519821,0.0947765641696981,0.342102764081389
01-03 19,0.152100506791592,0.125664667537985,0.159181814675533,0.294056246189234,0.22689604460497,0.218589171525565,0.276641111008118
01-03 20,0.147510533001126,0.136714426639271,0.160732074056445,0.272812990944704,0.326310606896405,0.384671750781399,0.254155084368761
01-03 21,0.140177340375841,0.160699309921541,0.111568396875946,0.280583111309536,0.342838464390701,0.433548172959159,0.279894986151035
01-03 22,0.163111826477313,0.31516484512503,0.00454887700381247,0.305971016101622,0.370381361170624,0.484206091605809,0.307001854913574
01-03 23,0.174710005246297,0.389839272573501,0.150487534760839,0.377606504237717,0.558422435060756,0.485732221006519,0.324104220652014
01-04 00,0.282322259335515,0.489574858628341,0.32096050210255,0.421869111111753,0.546906362512619,0.488333463587227,0.388184741363091
01-04 01,0.339464264179992,0.605657146631572,0.331183667892421,0.386142110963095,0.52607083112386,0.559002399558502,0.445943018824461
01-04 02,0.320835672687681,0.562339182460631,0.353605147428555,0.408888331019983,0.515188547979978,0.548609369884979,0.374991784693569
01-04 03,0.424398643067996,0.646753711424542,0.40694432908687,0.429138224262337,0.560942739195526,0.550787907612502,0.386177564685933
01-04 04,0.367412548708188,0.607540613382647,0.383120426316282,0.406330016461548,0.618491594881021,0.557410875299536,0.358584811124795
01-04 05,0.289690742030418,0.647781211086334,0.326512409538476,0.396937161245144,0.637687517052983,0.572646425032019,0.347223915600916
01-04 06,0.28894858210189,0.648185036139347,0.303556477623882,0.378245064666237,0.574101437151304,0.466069998262913,0.33384454463991
01-04 07,0.257876256046788,0.557251822459033,0.2801496286621,0.356601183613199,0.531228504343617,0.398215014190906,0.318306325253565
01-04 08,0.277365157503207,0.406319116024711,0.304798984747365,0.337084676115848,0.432403605767848,0.435715599559377,0.294292076374642
01-04 09,0.268874511773664,0.232781253815681,0.290208665924608,0.34813144300733,0.390390804701447,0.392129619263175,0.280161515262734
01-04 10,0.261049091885348,0.228068232485715,0.282904630935503,0.347049667641875,0.353900263943301,0.382517336729526,0.264503900808588
01-04 11,0.258450648527804,0.218389185678677,0.276043612664011,0.343437232266906,0.365148406909652,0.377086722057518,0.267721733852689
01-04 12,0.27106995665417,0.222077423912036,0.279118586480522,0.327054996068465,0.357119925320346,0.424131737497344,0.302462885202426
01-04 13,0.298859018861293,0.227551391599968,0.294373229593316,0.349932814815475,0.368354068700341,0.478597090593276,0.318905887755918
01-04 14,0.339498770891909,0.220474007637595,0.336219447780723,0.39349407021526,0.391524290510267,0.563931351335716,0.33201465859238
01-04 15,0.363928383512965,0.204987189825031,0.347925941424919,0.375951562061781,0.400190061169114,0.523647284136432,0.345743749836381
01-04 16,0.222256822282099,0.145344283270748,0.266671133710351,0.237427132371453,0.365657392095131,0.306623142573709,0.153201924358716
01-04 17,0.200292869611059,0.129769595197269,0.238317555670589,0.111369043430381,0.329475558553165,0.381257338778053,0.0510462177033114
01-04 18,0.201938299847704,0.123535279269925,0.217886016720392,0.0538524746972557,0.275056643573292,0.524094435687622,0.0861332727110204
